No.,Herb Name,Number of File
806,สะบ้ามอญ,9
807,สะบ้าลาย,2
808,สะบ้าลิง,25
809,สะระแหน่,184
81,เกล็ดนาค,1
810,สะระแหน่ญวน,2
811,สะระแหน่ญี่ปุ่น,87
812,สะระแหน่ฝรั่ง,6
813,สะอึก,280
814,สักขี,15
815,สังกรณี,18
816,สันตะวา,9
817,สันพร้ามอญ,5
818,สันพร้าหอม,29
819,สับปะรด,448
82,เกล็ดนาคราช,11
820,สับปะรดเทศ,0
821,สาเก,23
822,สาคูวิลาศ,1
823,สาบเสือ,17
824,สายน้ำผึ้ง,131
825,สายหยุด,96
826,สารพัดพิษ,34
827,สารภี,291
828,สารภีดอกใหญ่,16
829,สำมะงา,9
83,เกากีฉ่าย,2
830,สำรอง,399
831,สำโรง,59
832,สำเหร่,2
833,สีฟันควาย,2
834,สีเสียด,94
835,สีเสียดเทศ,6
836,สีเสียดเปลือก,1
837,สุพรรณิกา,14
838,สุรามะริด,1
839,เส้ง,16
84,แกแล,8
840,เสน่ห์จันทน์ขาว,0
841,เสน่ห์จันทน์แดง,2
842,เสนียด,54
843,เสม็ดขาว,6
844,เสลดพังพอน,187
845,เสลา,102
846,แสงจันทร์,37
847,แสนประสะ,1
848,แสม,35
849,แสมขาว,1
85,แก้วเจ้าจอม,5
850,แสมดำ,41
851,แสมทะเล,25
852,แสมสาร,51
853,แสยก,7
854,แสลงใจ,25
855,แสลงพัน,3
856,แสลงพัน,3
857,โสน,78
858,โสมคน,4
859,โสมอเมริกัน,4
86,โกโก้,187
860,โส่ยซิน,0
861,หงอนไก่,89
862,หงอนไก่ทะเล,2
863,หงอนไก่ฝรั่ง,3
864,หญ้ากระต่ายจาม,1
865,หญ้าเกล็ดหอย,21
866,หญ้าขัด,33
867,หญ้าขัดใบป้อม,8
868,หญ้าขัดใบยาว,4
869,หญ้าไข่เหา,8
87,โกงกางใบเล็ก,5
870,หญ้าคา,84
871,หญ้างวงช้าง,52
872,หญ้าเจ้าชู้,5
873,หญ้าชันกาด,5
874,หญ้าต้อมต๊อก,5
875,หญ้าตะขาบ,4
876,หญ้าตีนกา,3
877,หญ้าตีนมือตุ๊ดตู่,0
878,หญ้าใต้ใบ,29
879,หญ้าไทร,10
88,โกงกางใบใหญ่,6
880,หญ้าน้ำดับไฟ,16
881,หญ้าปล้อง,9
882,หญ้าปักกิ่ง,156
883,หญ้าปากควาย,17
884,หญ้าไผ่,0
885,หญ้าฝรั่น,24
886,หญ้าพงพดเขา,0
887,หญ้าพองลม,3
888,หญ้าพันงูขาว,3
889,หญ้าพันงูแดง,18
89,โกฐกระดูก,52
890,หญ้าแพรก,45
891,หญ้ายอนหู,0
892,หญ้ายุงปัดแม่ม่าย,0
893,หญ้ารังกา,2
894,หญ้าละออง,6
895,หญ้าสาบแร้ง,9
896,หญ้าหนวดแมว,108
897,หญ้าหนูต้น,1
898,หญ้าหวาน,53
899,หญ้าหัวโต,0
9,กระเช้าสีดา,9
90,โกฐกักกรา,10
900,หญ้าหูเสือ,0
901,หญ้าแห้วหมู,17
902,หนวดปลาดุก,2
903,หนอนตายหยาก,72
904,หนาดวัว,71
905,หนาดใหญ่,21
906,หนามไก่ให้,2
907,หนามขี้แรด,5
908,หนามแดง,20
909,หนามพรม,9
91,โกฐก้านพร้าว,23
910,หนามเล็บแมว,6
911,หนุมานประสานกาย,86
912,หม่อน,145
913,หมากดิบน้ำค้าง,3
914,หมากแดง,3
915,หมากสง,8
916,หมากเหลือง,4
917,หมาตายซาก,0
918,หมามุ่ย,70
919,หมีเหม็น,7
92,โกฐเขมา,188
920,หยี,41
921,หยูเฮียง,0
922,หล่อฮั่งก๊วย,13
923,หลิว,20
924,หว้า,121
925,หวายขม,13
926,หวายตะค้า,6
927,หวายตะมอย,1
928,หวายโป่ง,3
929,หวายลิง,5
93,โกฐจุฬาลำพา,14
930,หอมแดง,280
931,หอมปีนัง,31
932,หอมหัวใหญ่,85
933,หัวข้าวเย็นเหนือ,11
934,หัวผักกาด,63
935,หัวร้อยรู,33
936,หัวลิง,43
937,หัสคุณ,11
938,หัสคุณเทศ,3
939,หัสดำ,3
94,โกฐชฎามังสี,6
940,หางกระรอก,59
941,หางกระรอกแดง,0
942,หางนกยูงไทย,10
943,หางนกยูงฝรั่ง,1
944,หางนกลิง,0
945,หางไหล,17
946,หิงห้อย,0
947,หิงหาย,1
948,หิงหายใบเล็ก,1
949,หิรัญญิการ์,2
95,โกฐเชียง,66
950,หูกวาง,71
951,หูปลาช่อน,22
952,เหงือกปลาหมอ,113
953,เหงือกปลาหมอดอกขาว,12
954,เหงือกปลาหมอดอกม่วง,23
955,เห็ดจิก,31
956,เห็ดหลินจือ,169
957,เหรียง,43
958,เหล่งต๋าเช่า,0
959,แห้ม,14
96,โกฐน้ำเต้า,73
960,แห้วไทย,7
961,โหระพา,223
962,โหระพาช้าง,4
963,โหรากระบือ,0
964,โหราข้าวโพด,0
965,โหราเดือยไก่,1
966,โหราบอน,1
967,อบเชย,382
968,อบเชยจีน,8
969,อบเชยญวน,46
97,โกฐสอ,70
970,อบเชยต้น,9
971,อบเชยเถา,7
972,อบเชยลังกา,0
973,อรพิม,2
974,อ้อน้อย,2
975,อ้อยช้าง,67
976,อ้อยแดง,76
977,อัคคีทวาร,19
978,อังกาบ,45
979,อังกาบหนู,4
98,โกฐหัวบัว,62
980,อัญชัน,168
981,อินทนิลน้ำ,63
982,อินทผลัม,27
983,อีหรุด,0
984,อีเหนียว,4
985,อึ้งเน้ย,0
986,อุตพิด,22
987,อุโลก,2
988,อูน,64
989,เอื้องดิน,2
99,ขนุน,311
990,เอื้องเพ็ดม้า,3
991,แอหนัง,1
992,ฮอมดง,0
993,ฮางแกง,3
